timestamp_utc_microseconds	price	size
1550411345431797.0	3569.99	0.04
1550411345503458.0	3569.99	0.35776
1550411345639777.0	3570.0	0.01031537
1550411345726797.0	3569.99	0.23582143
1550411349078115.0	3569.98	0.06029368
1550411351632889.0	3569.95	0.06029368
1550411355423533.0	3569.67	0.8238806
1550411355616090.0	3569.67	0.0092005
1550411357905074.0	3569.67	0.00167525
1550411363026396.0	3569.67	0.27465225
1550411368261947.2	3569.66	0.24496056
1550411368266317.0	3569.66	0.06864278
1550411369344025.0	3568.54	0.00278744
1550411372926546.0	3568.54	0.00284276
1550411381085516.0	3568.53	0.01347939
1550411381086514.0	3568.53	1.27775861
1550411387975810.0	3568.54	0.00376703
1550411399940075.8	3568.54	0.02704954
1550411400380185.8	3568.54	0.01004076
1550411403553559.0	3568.54	0.00683418
1550411403835539.0	3568.54	0.02704954
1550411404811234.0	3568.54	0.00251228
1550411428504981.0	3568.54	0.00571885
1550411431438463.0	3568.54	0.26813368
1550411437273671.2	3568.54	0.1340258
1550411443754311.8	3568.54	0.00251228
1550411452930181.0	3568.54	0.02704954
1550411456316660.0	3568.54	0.10725292
1550411461444785.0	3568.53	1.0
1550411462930704.0	3568.54	0.0078101
1550411464157010.0	3568.54	0.00516119
1550411470591920.0	3568.54	0.08446115
1550411478022986.0	3568.54	0.04290117
1550411478310608.0	3568.54	0.02704954
1550411481302202.0	3568.54	0.00111812
1550411485402927.0	3568.53	0.00111812
