Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,EPP,FEZ
2010/4/13,135.5099945,42.40000153,112.6900024,49.31999969,119.8300018,110.1699982,24.54000092,327.1199951,20.29999924,49.34999847,44.25999832,40.11000061
2010/4/14,136.2200012,42.59999847,113.0299988,49.90999985,121.1900024,110.1699982,24.60000038,334.0799866,20.53000069,49.77999878,45.11000061,40.54999924
2010/4/15,135.4700012,42.79999924,113.6500015,50.13000107,121.2900009,110.1699982,24.73999977,333.6799927,20.4766674,49.5,44.95000076,40.34000015
2010/4/16,134.7700043,42,111.2399979,49.52999878,119.3600006,110.2099991,24.57999992,324.7999878,20.30333328,48.38000107,43.81000137,39.25999832
2010/4/19,134.5099945,41.91999817,111.1500015,49.5,119.8099976,110.1600037,24.56999969,320.8800049,20.12999916,48.25,43.70000076,39.20000076
2010/4/20,134.1000061,41.75999832,111.4599991,49.75,120.8799973,110.1900024,24.72999954,322.3999939,20.19000053,48.43999863,44.18000031,39.43999863
2010/4/21,133.6499939,41.91999817,112.3099976,50.02999878,120.6600037,110.1800003,24.93000031,322.1600037,19.85000038,48.06000137,43.90999985,38.86000061
2010/4/22,132.7799988,41.56000137,111.8399963,50.31000137,121.0199966,110.1900024,25.02000046,322.3999939,19.69666672,48.52000046,43.79000092,38.27000046
2010/4/23,133.3699951,41.84000015,113.1900024,50.52000046,121.8099976,110.1900024,24.75,327.6000061,20.03333282,48.79999924,43.68999863,38.56999969
2010/4/26,133.3000031,42.11999893,112.75,50.40999985,121.3499985,110.1900024,24.72999954,322.7999878,19.88666725,48.65999985,43.63999939,38.61999893
2010/4/27,131.4299927,41.36000061,114.6299973,49.34000015,118.4800034,110.1900024,24.37999916,314.9599915,19.63666725,46.65999985,42.13000107,36.36000061
2010/4/28,131.6300049,41.20000076,114.3099976,49.36999893,119.3799973,110.1699982,24.47999954,319.7600098,19.7033329,47.18000031,42.77999878,36.22999954
2010/4/29,132.0700073,41.68000031,114.2799988,50.22999954,120.8600006,110.1800003,24.70000076,328.3200073,20.28333282,48.31000137,43.24000168,36.88000107
2010/4/30,132.7700043,41.56000137,115.3600006,49.24000168,118.8099976,110.1900024,24.89999962,330.6400146,20.11666679,47.86999893,42.25,36.65999985
2010/5/3,131.6100006,41.68000031,115.7300034,49.93000031,120.3499985,110.1600037,24.87000084,331.6799927,20.44666672,47.68999863,42.79999924,36.84000015
2010/5/4,129.6999969,40.40000153,114.8700027,48.43000031,117.5199966,110.1500015,24.76000023,317.6000061,19.86666679,45.52999878,40.70000076,34.81000137
2010/5/5,127.8600006,40.36000061,115.0899963,48.18000031,116.8199997,110.1800003,24.69000053,306.480011,19.41666603,44.95000076,40.34999847,33.93999863
2010/5/6,125.9599991,40.11999893,118.4899979,46.56999969,112.9400024,110.1800003,24.18000031,295.6799927,18.61000061,43.20000076,37.90000153,32.29999924
2010/5/7,126.9599991,39.75999832,118.2699966,45.40999985,111.2600021,110.1699982,24.10000038,290.480011,17.84000015,43.18999863,38.22000122,31.67000008
2010/5/10,127.5100021,40.88000107,117.5699997,47.77000046,116.1600037,110.1600037,24.34000015,297.8399963,18.5233326,46.20999908,40.72000122,35.09999847
2010/5/11,126.4499969,39.95999908,120.6600037,47.72000122,115.8300018,110.1699982,24.20999908,294.0799866,18.76666641,45.59000015,39.91999817,34.52999878
2010/5/12,125.9100037,40.31999969,121.4000015,48.61999893,117.4499969,110.1800003,24.34000015,294.1600037,19.20999908,46.15999985,40.34000015,34.99000168
2010/5/13,124.9499969,40,120.5599976,47.84999847,115.9899979,110.1900024,24.14999962,289.0400085,19.11666679,45.52999878,40.02000046,34.24000168
2010/5/14,123.4700012,39.72000122,120.3700027,46.93000031,113.8899994,110.1999969,23.75,278.480011,18.71333313,44.54999924,38.88000107,32.75999832
2010/5/17,123.4800034,39.63999939,119.3600006,47.08000183,113.9499969,110.1699982,23.45000076,271.0400085,18.77666664,43.95999908,38.59000015,32.84999847
2010/5/18,121.7699966,38.95999908,119.4899979,46.43000031,112.4000015,110.1699982,23.63999939,267.7600098,18.62000084,43.06000137,37.77999878,32.34999847
2010/5/19,123.5,39.24000168,116.6299973,46.06000137,111.7600021,110.1900024,23.77000046,268.0799866,18.50333405,42.09999847,36.86000061,32.77000046
2010/5/20,124.75,38.63999939,115.8399963,44.34999847,107.5400009,110.1999969,23.54000092,257.6000061,17.73999977,40.27000046,34.72000122,31.68000031
2010/5/21,125.3600006,39,115.2200012,44.84000015,109.1100006,110.1999969,23.84000015,258.1600037,17.79999924,41.68999863,36.15000153,32.65000153
2010/5/24,123.4199982,38.47999954,116.8399963,44.65999985,107.7099991,110.1999969,23.76000023,257.3599854,17.7266674,41.02000046,36.06999969,31.43000031
2010/5/25,122.9800034,38.24000168,117.3600006,44.70000076,107.8199997,110.1900024,23.65999985,254.8000031,17.69333267,40.86999893,35.77000046,31.44000053
2010/5/26,121.5699997,37.75999832,118.4700012,44.20000076,107.1699982,110.1699982,23.72999954,260.7200012,17.64666748,41.20999908,35.50999832,30.56999969
2010/5/27,123.2200012,38.68000031,118.6900024,45.86999893,110.7600021,110.1999969,23.98999977,274.480011,18.0933342,43.54000092,37.61999893,32.90999985
2010/5/28,122.3700027,38.04000092,118.8799973,45.59999847,109.3700027,110.1999969,23.57999992,272.3200073,18.04333305,42.81000137,37.00999832,32.22000122
2010/6/1,122.0299988,37.91999817,119.9100037,45.18000031,107.5299988,110.1900024,23.53000069,265.4400024,17.80666733,42.59000015,36.18999863,31.64999962
2010/6/2,122.1100006,38.11999893,119.7799988,46.25,110.3300018,110.1999969,23.51000023,270.3200073,18.55999947,43.93999863,37.33000183,32.54000092
2010/6/3,121.2200012,38.04000092,117.9599991,46.68999863,110.7099991,110.1800003,23.52000046,274.0799866,18.74333382,43.56999969,37.40000153,32.29000092
2010/6/4,119.2799988,37.31999969,119.1900024,45.09000015,106.8199997,110.2200012,23.05999947,261.4400024,17.94666672,42.13999939,35.75999832,30.31999969
2010/6/7,118.8000031,36.72000122,121.4899979,44.27000046,105.4899979,110.1800003,22.87000084,260.7200012,17.57999992,41.54999924,35.15000153,30.01000023
2010/6/8,119.1200027,37.08000183,121,44.18999863,106.6200027,110.2200012,23.12000084,265.519989,17.32666588,42.52000046,36.22999954,30.47999954
2010/6/9,119.5199966,37.11999893,120.5599976,43.81999969,106.0500031,110.1900024,23.09000015,271.6000061,17.21999931,42.59999847,36.25999832,30.37000084
2010/6/10,121.0500031,37.75999832,118.9700012,45.06999969,109.1500015,110.2200012,23.29999924,278.1600037,17.81999969,44.27000046,37.93999863,32
2010/6/11,120.5699997,37.68000031,120.0100021,45.5,109.6800003,110.2300034,23.54999924,273.8399963,18.13999939,44.54999924,38.13999939,32.36000061
2010/6/14,121.8899994,37.91999817,119.5999985,45.49000168,109.5100021,110.2200012,23.79000092,274.6400146,18.21333313,44.18000031,38.24000168,32.72000122
2010/6/15,123.0699997,38.59999847,120.9899979,46.70999908,112,110.1800003,24.05999947,281.8399963,18.59000015,45.29000092,39.22000122,34.24000168
2010/6/16,122.6299973,38.75999832,120.3300018,46.90000153,111.9599991,110.1999969,24.09000015,283.9200134,18.43000031,45.47000122,39.06999969,33.90999985
2010/6/17,123.4899979,38.68000031,121.9000015,47.04999924,112.1399994,110.2200012,24,281.1199951,18.36666679,45.31999969,38.95999908,34.13000107
2010/6/18,123.3600006,38.75999832,122.8300018,47,111.7300034,110.1999969,24.10000038,283.2799988,18.64333344,45.40000153,39.06000137,33.33000183
2010/6/21,122.7799988,39.04000092,120.3899994,46.59999847,111.4100037,110.2200012,24.17000008,282.6400146,18.48333359,45.18999863,39.68999863,33.11000061
2010/6/22,122.3799973,38.56000137,121.4499969,46.24000168,109.5699997,110.1900024,24.14999962,280,18.14333344,44.40000153,39.06000137,32.68000031
2010/6/23,122.6900024,38.11999893,120.9499969,46.04999924,109.2300034,110.1999969,24.07999992,273.9200134,18.2033329,44.33000183,38.41999817,32.86999893
2010/6/24,122.8600006,38,121.3000031,45.34999847,107.4199982,110.1999969,24.29999924,275.1199951,18.01333427,43.52000046,37.72000122,32.02000046
2010/6/25,123.4400024,38.15999985,122.7600021,45.27000046,107.8700027,110.2200012,24.21999931,285.2799988,18.38333321,44.15000153,38.04000092,32.24000168
2010/6/28,122.3300018,37.72000122,121.0899963,45.11000061,107.5299988,110.2099991,24.09000015,281.6799927,18.24333382,43.86999893,37.68999863,32.06000137
2010/6/29,121.5599976,36.79999924,121.2699966,43.36999893,104.2099991,110.2099991,23.60000038,273.3599854,17.59000015,41.79999924,36.04999924,30.61000061
2010/6/30,121.8700027,36.79999924,121.6800003,42.70999908,103.2200012,110.2300034,23.98999977,271.6799927,17.25666618,41.41999817,35.74000168,30.56999969
2010/7/1,124.7699966,36.91999817,117.0400009,42.59000015,102.7600021,110.1800003,24.19000053,262.9599915,16.85333252,41.86000061,35.81999969,31.18000031
2010/7/2,125.0800018,37.08000183,118.4899979,42.47000122,102.1999969,110.1999969,24.11000061,260.7999878,16.97333336,42.25,35.86999893,30.87000084
2010/7/6,125.8000031,37.84000015,116.5100021,42.59999847,102.8700027,110.1800003,23.88999939,260.8800049,16.64666748,42.50999832,36.47000122,31.75
2010/7/7,126.0100021,38.56000137,117.7300034,43.95999908,106.1100006,110.2099991,24.43000031,269.2000122,17.0233326,43.90000153,37.36000061,33.25
2010/7/8,126.5,38.63999939,117.2099991,44.20000076,107.1600037,110.2300034,24.62000084,273.8399963,17.36666679,44.31999969,37.97000122,33.50999832
