Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF
2009-12-23,143.00999450683594,39.439998626708984,106.55000305175781,45.560001373291016,111.94999694824219,110.19999694824219,26.299999237060547,301.9200134277344,17.913333892822266,46.90999984741211
2009-12-24,143.2899932861328,39.720001220703125,108.36000061035156,45.97999954223633,112.4800033569336,110.18000030517578,26.149999618530273,305.6000061035156,17.99333381652832,47.40999984741211
2009-12-28,143.55999755859375,39.560001373291016,108.55000305175781,46.220001220703125,112.72000122070312,110.22000122070312,26.3799991607666,310.8800048828125,18.08333396911621,47.470001220703125
2009-12-29,143.3000030517578,39.720001220703125,107.47000122070312,46.029998779296875,112.55999755859375,110.19999694824219,26.350000381469727,310.7200012207031,18.040000915527344,47.5
2009-12-30,143.1199951171875,39.279998779296875,106.93000030517578,46.16999816894531,112.5199966430664,110.19999694824219,26.329999923706055,313.1199951171875,18.073333740234375,47.70000076293945
2009-12-31,142.91000366210938,38.959999084472656,107.30999755859375,45.75,111.44000244140625,110.19000244140625,26.440000534057617,314.239990234375,17.8799991607666,47.790000915527344
2010-01-04,143.86000061035156,39.959999084472656,109.80000305175781,46.41999816894531,113.33000183105469,110.19999694824219,26.690000534057617,322.1600036621094,18.16666603088379,49.349998474121094
2010-01-05,143.4600067138672,40.20000076293945,109.69999694824219,46.41999816894531,113.62999725341797,110.16000366210938,26.860000610351562,323.2799987792969,18.236665725708008,49.45000076293945
2010-01-06,143.88999938964844,40.36000061035156,111.51000213623047,46.13999938964844,113.70999908447266,110.16999816894531,27.010000228881836,327.760009765625,18.479999542236328,49.560001373291016
2010-01-07,142.97000122070312,40.0,110.81999969482422,46.16999816894531,114.19000244140625,110.16999816894531,26.799999237060547,325.760009765625,18.479999542236328,49.45000076293945
2010-01-08,143.91000366210938,40.47999954223633,111.37000274658203,46.54999923706055,114.56999969482422,110.20999908447266,26.8799991607666,327.44000244140625,18.56333351135254,49.81999969482422
2010-01-11,144.94000244140625,40.84000015258789,112.8499984741211,46.36000061035156,114.7300033569336,110.20999908447266,26.760000228881836,324.32000732421875,18.663333892822266,49.529998779296875
2010-01-12,144.64999389648438,41.119998931884766,110.48999786376953,45.779998779296875,113.66000366210938,110.19999694824219,26.270000457763672,317.0400085449219,18.426666259765625,48.7599983215332
2010-01-13,144.8300018310547,41.36000061035156,111.54000091552734,46.349998474121094,114.62000274658203,110.19000244140625,26.600000381469727,313.67999267578125,18.696666717529297,48.900001525878906
2010-01-14,144.75999450683594,41.959999084472656,112.02999877929688,46.38999938964844,114.93000030517578,110.19000244140625,26.350000381469727,312.4800109863281,18.709999084472656,48.22999954223633
2010-01-15,143.5500030517578,41.880001068115234,110.86000061035156,45.849998474121094,113.63999938964844,110.18000030517578,26.100000381469727,307.20001220703125,18.383333206176758,47.47999954223633
2010-01-19,142.77999877929688,41.84000015258789,111.5199966430664,46.59000015258789,115.05999755859375,110.19999694824219,26.270000457763672,311.44000244140625,18.799999237060547,48.310001373291016
2010-01-20,140.77999877929688,40.91999816894531,108.94000244140625,45.91999816894531,113.88999938964844,110.19999694824219,26.1299991607666,303.1199951171875,18.696666717529297,46.869998931884766
