Date,coke,pepsi
25/02/1993,18.25,19.8125
26/02/1993,18.25,19.9375
1/03/1993,17.5,19.625
2/03/1993,17.75,20.25
3/03/1993,18.75,20.5
4/03/1993,19.25,20.4375
5/03/1993,19.75,20.6875
8/03/1993,19.75,21.25
9/03/1993,19.5,21.0625
10/03/1993,19.5,21.0625
11/03/1993,20.25,21
12/03/1993,19.5,20.3125
15/03/1993,19.75,20.3125
16/03/1993,19.5,20.4375
17/03/1993,20,20.5
18/03/1993,19.25,20.75
19/03/1993,19.25,21
22/03/1993,19.25,20.875
23/03/1993,20,20.625
24/03/1993,20,20.875
25/03/1993,19.5,21.125
26/03/1993,19.25,21
29/03/1993,20,21.3125
30/03/1993,19.25,21.375
31/03/1993,19.25,21.4375
1/04/1993,20,21.375
2/04/1993,19.25,20.8125
5/04/1993,19.75,20.25
6/04/1993,18.75,20
7/04/1993,18,19.8125
8/04/1993,18.75,19.5
12/04/1993,18.75,19.625
13/04/1993,18,19.6875
14/04/1993,18.375,19.625
15/04/1993,18.75,19.375
16/04/1993,18,18.4375
19/04/1993,18,18.25
20/04/1993,18.75,18.1875
21/04/1993,18.75,18.75
22/04/1993,18,18.3125
23/04/1993,18.25,18.3125
26/04/1993,18.25,18.625
27/04/1993,18.25,18.3125
28/04/1993,18.25,18.6875
29/04/1993,18.5,18.875
30/04/1993,19,18.8125
3/05/1993,18.5,18.5
4/05/1993,19,18.5
5/05/1993,18.75,18.875
6/05/1993,19.5,18.5625
7/05/1993,19.75,18.5
10/05/1993,19.75,18.3125
11/05/1993,19.5,18.625
12/05/1993,20.5,18.625
13/05/1993,20.625,18.125
14/05/1993,21,17.875
17/05/1993,20.5,18.5
18/05/1993,21,18.25
19/05/1993,21,18.5
20/05/1993,21.75,18.875
21/05/1993,22.5,18.4375
24/05/1993,22,18.25
25/05/1993,22.25,18.3125
26/05/1993,22.5,18.3125
27/05/1993,22.375,18.125
28/05/1993,22,18.125
1/06/1993,22.25,18.125
2/06/1993,22.25,18.0625
3/06/1993,21.5,18
4/06/1993,22.25,18
7/06/1993,21.875,17.6875
8/06/1993,21.25,17.625
9/06/1993,21.25,17.4375
10/06/1993,21.25,17.8125
11/06/1993,22.5,18.25
14/06/1993,22,18.125
15/06/1993,22.5,17.8125
16/06/1993,22.375,17.8125
17/06/1993,22.25,18.4375
18/06/1993,23,18.1875
21/06/1993,23,18.1875
22/06/1993,23.5,18.25
23/06/1993,23.5,18.0625
24/06/1993,23,18.25
25/06/1993,23,18.125
28/06/1993,23.5,18.375
29/06/1993,23.75,18.5
30/06/1993,24,18.5
1/07/1993,27.75,18.3125
2/07/1993,26.5,18.125
6/07/1993,26.25,17.9375
7/07/1993,26.25,18.0625
8/07/1993,26.625,17.875
9/07/1993,26.75,17.75
12/07/1993,28.875,17.75
13/07/1993,29.75,17.4375
14/07/1993,29,17.5625
15/07/1993,28.5,17.9375
16/07/1993,28.375,17.8125
19/07/1993,28,17.75
20/07/1993,27.5,18.1875
21/07/1993,26.5,18.625
22/07/1993,27.25,18.9375
23/07/1993,27.75,18.875
26/07/1993,28.5,18.75
27/07/1993,28.375,18.5
28/07/1993,28.375,18.5625
29/07/1993,28,18.6875
30/07/1993,28,18.6875
2/08/1993,28.5,18.75
3/08/1993,29.75,18.625
4/08/1993,30,18.375
5/08/1993,29.25,18.6875
6/08/1993,30,18.375
9/08/1993,29.625,18.5625
10/08/1993,30,18.5625
11/08/1993,29.5,19
12/08/1993,28.5,18.5625
13/08/1993,29,18.6875
16/08/1993,28.75,18.6875
17/08/1993,30.5,18.8125
18/08/1993,30.5,19.4375
19/08/1993,29.75,20.0625
20/08/1993,30.5,19.5625
23/08/1993,30,19.625
24/08/1993,29.75,19.6875
25/08/1993,29.25,19.375
26/08/1993,30,19.25
27/08/1993,29.625,19.625
30/08/1993,29.25,19.5
31/08/1993,29.5,19.6875
1/09/1993,30.75,19.75
2/09/1993,30,19.5
3/09/1993,30.75,19.5
7/09/1993,30,19.6875
8/09/1993,30.625,19.875
9/09/1993,32.25,19.9375
10/09/1993,32.5,20.125
13/09/1993,33.25,20.375
14/09/1993,33.75,20.4375
15/09/1993,34.5,20.8125
16/09/1993,35,20.75
17/09/1993,35.25,20.5625
20/09/1993,34.5,20
21/09/1993,32.75,19.875
22/09/1993,33.5,20.375
23/09/1993,33.25,20.375
24/09/1993,34,20.1875
27/09/1993,34,20.5
28/09/1993,34.5,20.25
29/09/1993,35,19.875
30/09/1993,34.25,19.625
1/10/1993,34,19.375
4/10/1993,34.75,19.75
5/10/1993,34,19.75
6/10/1993,33.75,19.4375
7/10/1993,33.75,19.5
8/10/1993,34.5,19.5
11/10/1993,34,19.8125
12/10/1993,34.25,19.875
13/10/1993,34.5,19.75
14/10/1993,34.25,20.25
15/10/1993,33.75,20.625
18/10/1993,33.75,20.375
19/10/1993,34.5,20.0625
20/10/1993,33.75,20.0625
21/10/1993,33.5,19.75
22/10/1993,33.5,19.8125
25/10/1993,36.625,19.5625
26/10/1993,36.25,19.8125
27/10/1993,36.625,19.625
28/10/1993,37,20.25
29/10/1993,37,19.75
1/11/1993,36.625,19.4375
2/11/1993,37,19.5625
