position,name,age,country,gender,wealthSource,industry,worth
1108,Tatiana Casiraghi,34,Monaco,F,beer,Food and Beverage,2200
1110,"Chase Coleman, III.",43,United States,M,hedge fund,Finance and Investments,2200
1111,Mark Coombs,57,United Kingdom,M,finance,Finance and Investments,2200
1112,James Coulter,58,United States,M,private equity,Finance and Investments,2200
1113,Dulce Pugliese de Godoy Bueno,70,Brazil,F,"hospitals, health care",Healthcare,2200
1114,Ana Lucia de Mattos Barretto Villela,44,Brazil,F,banking,Finance and Investments,2200
1115,"Frank Fertitta, III.",56,United States,M,"casinos, mixed martial arts",Sports,2200
1116,Lorenzo Fertitta,49,United States,M,"casinos, mixed martial arts",Sports,2200
1117,Maria Franca Fissolo,83,Italy,F,"Nutella, chocolates",Food and Beverage,2200
1118,Alexander Frolov,54,Russia,M,"mining, steel",Metals & Mining,2200
1119,"Ernest Garcia, II.",61,United States,M,used cars,Automotive,2200
1120,Alexandre Grendene Bartelle,68,Brazil,M,shoes,Fashion & Retail,2200
1121,Vinod & Anil Rai Gupta,72,India,F,electrical equipment,Manufacturing,2200
1122,Torstein Hagen,75,Norway,M,cruises,Service,2200
1123,He Qiaonv,52,China,F,landscape architecture,Service,2200
1124,Hans-Werner Hector,78,Germany,M,SAP,Technology,2200
1125,Stanley Hubbard,85,United States,M,DirecTV,Media & Entertainment,2200
1126,Ke Xiping,58,China,M,investments,Diversified,2200
1127,Suna Kirac,77,Turkey,F,diversified,Diversified,2200
1128,Kong Jian Min,50,China,M,real estate,Real Estate,2200
1129,Koo Bon-Moo,73,South Korea,M,Diversified,Diversified,2200
1130,Heikki Kyostila,72,Finland,M,dental products,Healthcare,2200
1131,Thomas Lee,74,United States,M,private equity,Finance and Investments,2200
1132,Eric Lefkofsky,48,United States,M,Groupon,Technology,2200
1133,Peter Lim,65,Singapore,M,investments,Finance and Investments,2200
1135,Tomas Olivo Lopez,44,Spain,M,shopping centers,Real Estate,2200
1136,Phillip T. (Terry) Ragon,69,United States,M,health IT,Technology,2200
1137,Stewart Rahr,72,United States,M,drug distribution,Healthcare,2200
1138,T. Denny Sanford,82,United States,M,"banking, credit cards",Finance and Investments,2200
1139,"Julio Mario Santo Domingo, III.",33,United States,M,beer,Food and Beverage,2200
1140,"Karl Scheufele, III.",79,Switzerland,M,jewelry,Fashion & Retail,2200
1141,Shen Guojun,55,China,M,retail,Fashion & Retail,2200
1142,Alain Taravella,70,France,M,real estate,Real Estate,2200
